komentar,sentimen
"Saya sangat puas dengan kamera smartphone ini.",Positif
"Smartphone ini memiliki tampilan yang cantik.",Positif
"Baterai cepat habis, sangat mengecewakan.",Negatif
"Performa smartphone ini sangat lambat.",Negatif
"Harganya terlalu mahal untuk apa yang ditawarkan.",Negatif
"Saya suka fitur keamanan sidik jari pada smartphone ini.",Positif
"Kualitas layarnya luar biasa, warnanya sangat tajam.",Positif
"Sinyal seluler seringkali drop, sangat merepotkan.",Negatif
"Desainnya terlihat kuno, butuh pembaruan.",Negatif
"Baterainya tahan lama sehingga saya tidak perlu sering mengisi ulang.",Positif
"Smartphone ini sangat responsif, saya suka sekali!",Positif
"Desain bodi smartphone ini terlihat elegan dan modern.",Positif
"Baterai tahan lama membuat hidup saya lebih mudah.",Positif
"Kualitas kamera sangat bagus, foto-foto terlihat luar biasa.",Positif
"Harganya sangat terjangkau, sangat bernilai.",Positif
"Sinyal seluler sering drop, sangat merepotkan.",Negatif
"Performa smartphone ini sering lag, sangat mengganggu.",Negatif
"Sistem operasinya tidak stabil, sering crash.",Negatif
"Baterainya cepat habis, perlu pengisian ulang terus-menerus.",Negatif
"Smartphone ini sangat mahal, tidak sebanding dengan fiturnya.",Negatif
"Kualitas layar kurang memuaskan, warna-warna terlihat pucat.",Negatif
"Fitur kamera selfie tidak memadai, hasilnya buram.",Negatif
"Smartphone ini sangat berat dan susah untuk digenggam lama.",Negatif
"Kualitas panggilan suara buruk, suara sering terpotong.",Negatif
"Saya sangat kecewa dengan kinerja baterai smartphone ini.",Negatif
"Fitur keamanan smartphone ini sangat canggih dan aman.",Positif
"Smartphone ini memiliki tampilan yang futuristik dan menawan.",Positif
"Saya sangat senang dengan kualitas rekaman video smartphone ini.",Positif
"Fitur pengisian cepat membuat hidup saya lebih praktis.",Positif
"Sistem operasinya sangat stabil, tidak pernah mengalami masalah.",Positif
"Baterainya tahan lama, saya bisa menggunakan sepanjang hari tanpa khawatir.",Positif
"Desainnya terlalu bulky dan tidak ergonomis.",Negatif
"Sinyal WiFi sering putus, sangat menjengkelkan.",Negatif
"Performanya lelet dan seringkali terjeda.",Negatif
"Banyak aplikasi bawaan yang tidak bisa dihapus.",Negatif
"Harga smartphone ini sangat tinggi, sulit diakses oleh banyak orang.",Negatif
"Kamera smartphone ini sering overexpose pada kondisi pencahayaan terang.",Negatif
"Smartphone ini terlalu besar untuk kantong saya.",Negatif
"Kualitas panggilan suara tidak jernih, sering terdengar bising.",Negatif
"Fitur pengenalan wajah tidak selalu akurat.",Negatif
"Kualitas layar retak setelah penggunaan singkat.",Negatif
"Sistem operasinya sangat mudah digunakan, cocok untuk semua orang.",Positif
"Smartphone ini memiliki antarmuka pengguna yang intuitif.",Positif
"Sistem operasinya sangat lancar dan tidak ada lag.",Positif
"Kualitas suara saat mendengarkan musik luar biasa.",Positif
"Baterai smartphone ini bisa bertahan sepanjang hari dengan penggunaan normal.",Positif
"Smartphone ini sangat ringan dan mudah dibawa ke mana-mana.",Positif
"Kamera depannya sangat cocok untuk video call dan selfie.",Positif
"Smartphone ini memiliki kapasitas penyimpanan yang besar.",Positif
"Desainnya sangat ergonomis, nyaman digenggam dalam waktu lama.",Positif
"Prosesor smartphone ini sangat kuat, dapat menjalankan aplikasi berat dengan lancar.",Positif
"Harganya cukup terjangkau dibandingkan dengan pesaing sekelasnya.",Positif
"Sinyal seluler sangat kuat, tidak pernah kehilangan jaringan.",Positif
"Baterainya bisa diisi ulang dengan cepat, menghemat waktu.",Positif
"Smartphone ini sangat tahan lama, sudah saya gunakan selama bertahun-tahun.",Positif
"Kualitas layar sangat jernih dan tajam, warnanya mengagumkan.",Positif
"Smartphone ini memiliki fitur pemotretan malam yang luar biasa.",Positif
"Baterai tahan lama, tidak perlu khawatir kehabisan daya saat bepergian.",Positif
"Kualitas panggilan suara sangat baik, suara jernih tanpa gangguan.",Positif
"Smartphone ini dilengkapi dengan banyak fitur hebat.",Positif
"Smartphone ini mudah ditemukan aksesori tambahan untuknya.",Positif
"Fitur keamanan sidik jari sangat efektif dan aman.",Positif
"Kualitas konstruksi smartphone ini sangat kuat dan tahan lama.",Positif
"Kamera belakangnya sangat baik dalam mengambil foto landscape.",Positif
"Smartphone ini memiliki penyimpanan awan gratis yang besar.",Positif
"Sistem operasinya selalu mendapatkan pembaruan terbaru.",Positif
"Smartphone ini sangat ramping dan stylish.",Positif
"Prosesor canggih membuatnya sempurna untuk gaming.",Positif
"Kualitas audio saat menonton video sangat mengesankan.",Positif
"Baterai tahan lama adalah poin penjualan utama.",Positif
"Desainnya sangat modern dan mengikuti tren terkini.",Positif
"Kamera memiliki mode potret yang menghasilkan foto-foto indah.",Positif
